标题,项目,用户,状态,截止,完成时间,URL
Task 1008 mWQXrxez,Project PRJ_166_IFT,user_682_RbfIz,已完成 / Done,2026-01-20T09:23:47.749276+00:00,,
Task 1009 4FlUdk7m,Project PRJ_64_VKR,user_665_fWrgB,待处理 / To Do,2025-12-29T09:23:47.749283+00:00,,
Task 1010 MCWVsFME,Project PRJ_188_94L,user_662_yM7Dx,待处理 / To Do,2026-01-05T09:23:47.749291+00:00,,
Task 1011 i0b2pq8l,Project PRJ_68_20A,user_334_40RwM,待处理 / To Do,2026-01-26T09:23:47.749298+00:00,,
Task 1012 iyzzuePy,Project PRJ_152_N4S,user_945_8C7Lq,待处理 / To Do,2026-01-04T09:23:47.749305+00:00,,
Task 1013 Io3gl4bu,Project PRJ_189_HPD,user_397_Qq85A,阻塞中 / Blocked,2026-01-25T09:23:47.749325+00:00,,
Task 1014 XGh0LjjJ,Project PRJ_163_LFK,user_796_vTI3N,已完成 / Done,2026-01-18T09:23:47.749333+00:00,,
Task 1015 dZimG69i,Project PRJ_30_MSQ,user_869_Xb7HT,已完成 / Done,2026-01-26T09:23:47.749340+00:00,,
Task 1016 4GEVbEu9,Project PRJ_52_NLX,user_336_3pDQU,待处理 / To Do,2026-01-24T09:23:47.749347+00:00,,
Task 1017 KxxGuiJk,Project PRJ_148_SUC,user_818_V5STO,已完成 / Done,2025-12-28T09:23:47.749354+00:00,,
Task 1018 dODov9C5,Project PRJ_152_N4S,user_40_0xrYI,已完成 / Done,2026-01-28T09:23:47.749361+00:00,,
Task 1019 lI9tqfaG,Project PRJ_69_MXR,user_842_C2zjO,待处理 / To Do,2026-01-14T09:23:47.749368+00:00,,
Task 1020 I1rju1Cz,Project PRJ_131_WQZ,user_616_RMzVW,待处理 / To Do,2026-01-15T09:23:47.749375+00:00,,
Task 1021 j0HM7g2h,Project PRJ_14_7K9,user_888_D0Pq7,待处理 / To Do,2026-01-14T09:23:47.749382+00:00,,
Task 1024 Su9hhsRO,Project PRJ_132_FXY,user_654_Q1HXF,待处理 / To Do,2026-01-23T09:23:47.749403+00:00,,
Task 1025 24YKbMh8,Project PRJ_93_K6A,user_933_U42Ef,已完成 / Done,2026-01-08T09:23:47.749411+00:00,,
Task 1026 jZugifsv,Project PRJ_110_J8D,user_978_76LSk,阻塞中 / Blocked,2026-01-24T09:23:47.749418+00:00,,
Task 1029 rL5Gd6Ir,Project PRJ_60_YMQ,user_86_mTbgA,待处理 / To Do,2026-01-20T09:23:47.749439+00:00,,
Task 1030 NNTAVJCV,Project PRJ_40_DBN,user_897_OlUJ0,待处理 / To Do,2026-01-17T09:23:47.749446+00:00,,
Task 1031 fNvmWHhh,Project PRJ_126_ROM,user_249_xwoOG,待处理 / To Do,2026-01-11T09:23:47.749453+00:00,,
Task 1032 Vjyfhk6b,Project PRJ_169_MJY,user_762_XDJCp,待处理 / To Do,2026-01-21T09:23:47.749460+00:00,,
Task 1033 dh5uKcYQ,Project PRJ_16_IZT,user_917_INNzw,待处理 / To Do,2026-01-23T09:23:47.749467+00:00,,
Task 1034 sAgK9Tn6,Project PRJ_173_US2,user_196_m3pgm,待处理 / To Do,2026-01-10T09:23:47.749475+00:00,,
Task 1035 rdiTi0t2,Project PRJ_49_T9L,user_889_HCdmt,待处理 / To Do,2026-01-09T09:23:47.749482+00:00,,
Task 1036 WSR2P9TP,Project PRJ_102_7TL,user_567_yxIFv,待处理 / To Do,2026-01-16T09:23:47.749489+00:00,,
Task 1037 mIpn851o,Project PRJ_124_9RN,user_221_0BPrH,待处理 / To Do,2026-01-04T09:23:47.749496+00:00,,
Task 1038 dVRbzQSP,Project PRJ_36_NCR,user_674_U4mIU,待处理 / To Do,2026-01-16T09:23:47.749504+00:00,,
Task 1039 BtbGG9Vp,Project PRJ_137_P7V,user_743_hZJLA,待处理 / To Do,2026-01-16T09:23:47.749512+00:00,,
Task 1040 wPqiRd8d,Project PRJ_60_YMQ,user_768_4RQii,待处理 / To Do,2026-01-06T09:23:47.749519+00:00,,
Task 1041 jgblKMWB,Project PRJ_186_QFT,user_856_3rREO,待处理 / To Do,2026-01-17T09:23:47.749526+00:00,,
Task 1042 8aObNQ0N,Project PRJ_149_R4D,user_612_yvLHh,待处理 / To Do,2026-01-27T09:23:47.749532+00:00,,
Task 1043 l1mQ7hfj,Project PRJ_148_SUC,user_234_ZekvW,待处理 / To Do,2026-01-21T09:23:47.749540+00:00,,
Task 1044 7yWwfge0,Project PRJ_142_IIK,user_231_GE1J2,待处理 / To Do,2026-01-25T09:23:47.749546+00:00,,
Task 1045 7AhUMCoO,Project PRJ_4_NHA,user_170_A7H77,待处理 / To Do,2026-01-14T09:23:47.749553+00:00,,
Task 1046 IbxVQaLx,Project PRJ_4_NHA,user_136_yM7K4,待处理 / To Do,2026-01-03T09:23:47.749560+00:00,,
Task 1047 LAeuamUe,Project PRJ_3_YJD,user_587_bvUoB,待处理 / To Do,2026-01-19T09:23:47.749567+00:00,,
Task 1048 jxTMKiU6,Project PRJ_120_Q7K,user_244_SL29e,已完成 / Done,2026-01-04T09:23:47.749575+00:00,,
Task 1049 fcodqIOO,Project PRJ_104_YJV,user_706_f8hQh,已完成 / Done,2026-01-14T09:23:47.749582+00:00,,
Task 1050 ikIjeG8B,Project PRJ_13_EPO,user_890_uJunx,阻塞中 / Blocked,2026-01-28T09:23:47.749589+00:00,,
Task 1051 Meni4pdr,Project PRJ_143_QL6,user_754_fc4QD,待处理 / To Do,2025-12-31T09:23:47.749596+00:00,,
Task 1052 e69xQ73v,Project PRJ_93_K6A,user_213_VSZNb,待处理 / To Do,2026-01-17T09:23:47.749604+00:00,,
Task 1053 iCA3Fxac,Project PRJ_118_UFN,user_32_Tf7RQ,待处理 / To Do,2026-01-09T09:23:47.749611+00:00,,
Task 1054 FXDvdrll,Project PRJ_151_JNR,user_745_z6Llt,待处理 / To Do,2026-01-06T09:23:47.749618+00:00,,
Task 1055 sO6JhJpV,Project PRJ_149_R4D,user_458_WcrcC,已完成 / Done,2026-01-13T09:23:47.749625+00:00,,
Task 1056 D2DtRffI,Project PRJ_128_05J,user_365_H4H3I,待处理 / To Do,2026-01-28T09:23:47.749632+00:00,,
Task 1057 lRcXX6T6,Project PRJ_169_MJY,user_8_F2qsc,待处理 / To Do,2026-01-16T09:23:47.749639+00:00,,
Task 1058 0cvADRgE,Project PRJ_177_NVU,user_306_N8tg2,待处理 / To Do,2026-01-16T09:23:47.749646+00:00,,
Task 1059 8n0elgkd,Project PRJ_54_HM5,user_832_BdND8,阻塞中 / Blocked,2026-01-26T09:23:47.749653+00:00,,
Task 1060 HSoAVxLM,Project PRJ_131_WQZ,user_85_OOTiH,待处理 / To Do,2026-01-13T09:23:47.749660+00:00,,
Task 1061 m3aFVGCV,Project PRJ_94_AS8,user_672_OEbk4,已完成 / Done,2025-12-26T09:23:47.749669+00:00,,
Task 1062 wCZCqQDZ,Project PRJ_171_FV6,user_811_GyDFl,已完成 / Done,2026-01-09T09:23:47.749678+00:00,,
Task 1064 HpACvIhz,项目三(3)55555,user_981_n11mj,待处理 / To Do,2026-01-07T09:23:47.749695+00:00,,
Task 1065 0VGvaw8l,Project PRJ_3_YJD,user_402_IubFG,待处理 / To Do,2026-01-25T09:23:47.749706+00:00,,
Task 1066 YiUCJXls,Project PRJ_150_MCO,user_177_X4wBg,待处理 / To Do,2026-01-05T09:23:47.749717+00:00,,
Task 1067 VZ9cDsTp,Project PRJ_185_HL1,user_615_dv8RP,待处理 / To Do,2026-01-06T09:23:47.749727+00:00,,
Task 1069 SNo3BJlF,Project PRJ_122_FJH,user_316_EDupk,待处理 / To Do,2026-01-18T09:23:47.749742+00:00,,
Task 1070 Db88Bzxi,Project PRJ_20_NGL,user_91_QHfzY,待处理 / To Do,2026-01-18T09:23:47.749751+00:00,,
Task 1071 dhr1vrCm,Project PRJ_32_CHI,user_629_J1xRj,待处理 / To Do,2026-01-26T09:23:47.749759+00:00,,
Task 1072 Q5WbDtuV,Project PRJ_110_J8D,user_625_Xqw7E,已完成 / Done,2026-01-10T09:23:47.749767+00:00,,
Task 1073 LiswDQyb,Project PRJ_146_EJS,user_929_jlsM0,待处理 / To Do,2026-01-22T09:23:47.749775+00:00,,
Task 1074 F4TNzk4N,Project PRJ_3_YJD,user_68_6K3Kd,待处理 / To Do,2026-01-08T09:23:47.749784+00:00,,
Task 1075 eZpO2HPc,Project PRJ_50_8I2,user_323_sZHXG,待处理 / To Do,2026-01-17T09:23:47.749792+00:00,,
Task 1076 LGuSNjMU,Project PRJ_87_XV3,user_782_3oE9M,进行中 / In Progress,2026-01-25T09:23:47.749800+00:00,,
Task 1077 wXORHuv6,Project PRJ_75_CIT,user_633_5EWdI,待处理 / To Do,2026-01-23T09:23:47.749808+00:00,,
Task 1078 YC5z9G6k,Project PRJ_17_WC7,user_167_c5Ktc,待处理 / To Do,2026-01-12T09:23:47.749816+00:00,,
Task 1079 i4nvTAap,Project PRJ_174_VYL,user_271_R14sz,待处理 / To Do,2025-12-31T09:23:47.749824+00:00,,
Task 1080 2D5mTiOV,Project PRJ_93_K6A,user_964_Mjz7i,已完成 / Done,2026-01-10T09:23:47.749833+00:00,,
Task 1081 y7C2Iduu,Project PRJ_98_RQM,user_827_OBELd,待处理 / To Do,2026-01-13T09:23:47.749841+00:00,,
Task 1082 R7zsCSEg,Project PRJ_73_IBI,user_141_Wt1qN,待处理 / To Do,2026-01-09T09:23:47.749849+00:00,,
Task 1083 wyjE7r5h,Project PRJ_104_YJV,user_317_RmEIY,待处理 / To Do,2026-01-09T09:23:47.749857+00:00,,
Task 1084 9B2wWq77,Project PRJ_191_8YM,user_187_TUa7d,已完成 / Done,2026-01-22T09:23:47.749865+00:00,,
Task 1085 YAje2ugZ,Project PRJ_74_QNH,user_949_4Mw4Q,待处理 / To Do,2026-01-11T09:23:47.749873+00:00,,
Task 1086 ZDQrLtYy,Project PRJ_105_T2I,user_258_lHjxf,阻塞中 / Blocked,2026-01-27T09:23:47.749881+00:00,,
Task 1087 DzwllH8x,Project PRJ_38_W0C,user_752_D2wIr,待处理 / To Do,2025-12-27T09:23:47.749890+00:00,,
Task 1088 11jJH2Wd,Project PRJ_15_FJI,user_402_IubFG,待处理 / To Do,2026-01-15T09:23:47.749898+00:00,,
Task 1089 pncOzcZ1,Project PRJ_9_EIY,user_892_z1PsK,已完成 / Done,2026-01-05T09:23:47.749906+00:00,,
Task 1090 fKlqcQ6o,Project PRJ_124_9RN,user_220_P7dcW,待处理 / To Do,2026-01-16T09:23:47.749914+00:00,,
Task 1091 EhAHlPDG,Project PRJ_101_U2O,user_395_mFTV2,待处理 / To Do,2026-01-22T09:23:47.749922+00:00,,
Task 1092 eudJiwTI,Project PRJ_41_BSG,user_602_DCtds,待处理 / To Do,2026-01-14T09:23:47.749930+00:00,,
Task 1094 awkoOv33,Project PRJ_34_K3O,user_625_Xqw7E,待处理 / To Do,2026-01-11T09:23:47.749946+00:00,,
Task 1095 feHmEPJq,Project PRJ_127_AFE,user_615_dv8RP,待处理 / To Do,2026-01-12T09:23:47.749954+00:00,,
Task 1096 VCa3mekv,Project PRJ_6_NXT,user_175_pu19N,待处理 / To Do,2026-01-20T09:23:47.749962+00:00,,
Task 1097 pKk8HJ9z,Project PRJ_77_HNQ,user_804_xL8tJ,待处理 / To Do,2026-01-05T09:23:47.749970+00:00,,
Task 1098 0siftLTh,Project PRJ_123_IEH,user_60_feXB5,待处理 / To Do,2026-01-15T09:23:47.749978+00:00,,
Task 1099 QqOmHQVR,Project PRJ_9_EIY,user_997_8juFI,待处理 / To Do,2026-01-12T09:23:47.749986+00:00,,
Task 1100 vXhICxNL,Project PRJ_60_YMQ,user_210_BEzR7,已完成 / Done,2026-01-14T09:23:47.749995+00:00,,
Task 1101 Pvs3bdKw,Project PRJ_13_EPO,user_500_tNsbd,已完成 / Done,2026-01-16T09:23:47.750003+00:00,,
Task 1102 uvaQsiON,Project PRJ_45_NCV,user_184_FMIul,待处理 / To Do,2026-01-06T09:23:47.750010+00:00,,
Task 1103 VMNOkq9Y,Project PRJ_15_FJI,user_391_XYne8,待处理 / To Do,2026-01-08T09:23:47.750018+00:00,,
Task 1104 ek4UfMYe,Project PRJ_88_5S0,user_416_QMf5V,待处理 / To Do,2026-01-26T09:23:47.750025+00:00,,
Task 1105 QAJ4WaO2,Project PRJ_100_ECJ,user_951_mPgDD,待处理 / To Do,2026-01-18T09:23:47.750032+00:00,,
Task 1106 6fWLNyKl,Project PRJ_54_HM5,user_446_G9vtl,待处理 / To Do,2026-01-23T09:23:47.750039+00:00,,
Task 1108 WxlGVNzZ,Project PRJ_51_QL6,user_69_VuSvq,阻塞中 / Blocked,2026-01-27T09:23:47.750054+00:00,,
Task 1109 lOhtntEi,Project PRJ_184_TI9,user_152_OxtvE,已完成 / Done,2026-01-15T09:23:47.750062+00:00,,
Task 1110 VhPFZZCm,Project PRJ_178_KUH,user_539_T2uc2,待处理 / To Do,2026-01-04T09:23:47.750069+00:00,,
Task 1111 81YiL1Zx,Project PRJ_8_QQD,user_593_opcVU,待处理 / To Do,2026-01-23T09:23:47.750076+00:00,,
Task 1112 J3crXBAB,Project PRJ_195_THX,user_820_ZcJib,待处理 / To Do,2026-01-12T09:23:47.750084+00:00,,
Task 1113 RnWjunIA,Project PRJ_17_WC7,user_15_vF966,待处理 / To Do,2026-01-16T09:23:47.750091+00:00,,
Task 1114 XRt4UDDL,Project PRJ_85_SDW,user_229_SrQEO,待处理 / To Do,2026-01-18T09:23:47.750098+00:00,,
Task 1115 rF8DP7ba,Project PRJ_27_XOD,user_134_cyKwU,待处理 / To Do,2026-01-04T09:23:47.750105+00:00,,
Task 1116 lXlVHwKQ,Project PRJ_69_MXR,user_544_QjP9v,待处理 / To Do,2025-12-30T09:23:47.750113+00:00,,
Task 1117 0zyi33Kq,Project PRJ_97_BEA,user_274_Ja9zz,待处理 / To Do,2026-01-22T09:23:47.750120+00:00,,
Task 1118 uasjysj6,Project PRJ_66_9OF,user_992_LqB4b,待处理 / To Do,2026-01-15T09:23:47.750127+00:00,,
Task 1119 AiGX7mF7,Project PRJ_0_9CW,user_933_U42Ef,待处理 / To Do,2025-12-30T09:23:47.750134+00:00,,
Task 1120 7tJExuyy,Project PRJ_38_W0C,user_53_jNbYG,已完成 / Done,2026-01-08T09:23:47.750142+00:00,,
Task 1121 74yIF1Ih,Project PRJ_127_AFE,user_154_CXp8y,待处理 / To Do,2026-01-12T09:23:47.750149+00:00,,
Task 1122 r5zoWe2S,Project PRJ_92_KYR,user_391_XYne8,待处理 / To Do,2026-01-22T09:23:47.750156+00:00,,
Task 1123 eWgx4Oxi,Project PRJ_97_BEA,user_498_5NLIe,待处理 / To Do,2026-01-03T09:23:47.750168+00:00,,
Task 1124 SHpKx2ex,Project PRJ_18_NEE,user_986_BjNhX,待处理 / To Do,2026-01-27T09:23:47.750175+00:00,,
Task 1127 vKF8SxR8,Project PRJ_107_RYE,user_580_4tUeh,待处理 / To Do,2026-01-13T09:23:47.750198+00:00,,
Task 1128 0GhbH3z1,Project PRJ_16_IZT,user_435_T4nGj,待处理 / To Do,2026-01-18T09:23:47.750206+00:00,,
Task 1129 WEFqsUhY,Project PRJ_193_NPX,user_763_q1boB,已完成 / Done,2026-01-19T09:23:47.750213+00:00,,
Task 1130 QZJJ09KZ,项目三(3)55555,user_838_XH5AB,待处理 / To Do,2026-01-13T09:23:47.750220+00:00,,
Task 1131 eTfH72fg,Project PRJ_15_FJI,user_94_Qzs0J,待处理 / To Do,2026-01-16T09:23:47.750228+00:00,,
Task 1132 aojx4BPE,Project PRJ_176_T4O,user_870_FwMOu,待处理 / To Do,2026-01-17T09:23:47.750236+00:00,,
Task 1133 tBqoh5nB,Project PRJ_87_XV3,user_586_QWDs1,待处理 / To Do,2026-01-02T09:23:47.750243+00:00,,
Task 1134 q8izNftI,Project PRJ_22_31K,user_403_4BPwj,待处理 / To Do,2026-01-07T09:23:47.750251+00:00,,
Task 1135 271zA1bl,Project PRJ_110_J8D,user_458_WcrcC,待处理 / To Do,2026-01-26T09:23:47.750258+00:00,,
Task 1136 Vanxr5c0,Project PRJ_26_PTN,user_878_SEnTg,待处理 / To Do,2026-01-11T09:23:47.750266+00:00,,
Task 1137 nPAk4H7I,Project PRJ_105_T2I,user_240_7bkGK,待处理 / To Do,2026-01-12T09:23:47.750273+00:00,,
Task 1138 FkqhKpn7,Project PRJ_99_FZP,user_947_VlrZZ,待处理 / To Do,2026-01-20T09:23:47.750280+00:00,,
Task 1139 5y0AKBfy,Project PRJ_104_YJV,user_673_L1ayh,待处理 / To Do,2026-01-19T09:23:47.750288+00:00,,
Task 1140 c5S0cgJi,Project PRJ_94_AS8,user_710_RMiFe,待处理 / To Do,2026-01-18T09:23:47.750295+00:00,,
Task 1141 IIqaosdb,Project PRJ_73_IBI,user_406_ZW4Lc,待处理 / To Do,2026-01-16T09:23:47.750302+00:00,,
Task 1142 0ohJjWez,Project PRJ_112_EF0,user_467_NwlIe,待处理 / To Do,2025-12-27T09:23:47.750309+00:00,,
Task 1143 i8bnPPHD,Project PRJ_11_CAD,user_230_IGRgm,待处理 / To Do,2026-01-18T09:23:47.750316+00:00,,
Task 1144 mWJ5gWSV,Project PRJ_166_IFT,user_27_IfsBv,待处理 / To Do,2026-01-19T09:23:47.750324+00:00,,
Task 1145 XrmRvIkS,Project PRJ_136_DBX,user_514_Ur11u,待处理 / To Do,2025-12-29T09:23:47.750331+00:00,,
Task 1147 zpt6LGhX,Project PRJ_122_FJH,user_773_C7weZ,待处理 / To Do,2026-01-08T09:23:47.750345+00:00,,
Task 1148 QC0STbay,Project PRJ_97_BEA,user_939_GmC5o,待处理 / To Do,2026-01-25T09:23:47.750352+00:00,,
Task 1149 sSy7lYSd,Project PRJ_122_FJH,user_559_C9iwz,待处理 / To Do,2026-01-12T09:23:47.750359+00:00,,
Task 1150 Lgy9WWT9,Project PRJ_173_US2,user_271_R14sz,待处理 / To Do,2026-01-14T09:23:47.750366+00:00,,
Task 1151 w2N3vVBr,Project PRJ_144_JTI,user_31_gAnqd,待处理 / To Do,2026-01-09T09:23:47.750373+00:00,,
Task 1152 tTI1Zhgl,Project PRJ_186_QFT,user_524_oVVHe,已完成 / Done,2026-01-13T09:23:47.750380+00:00,,
Task 1154 8lvaYPin,Project PRJ_191_8YM,user_958_rryAG,已完成 / Done,2026-01-08T09:23:47.750394+00:00,,
Task 1155 IdPF5bKu,Project PRJ_138_TLV,user_285_6X0wf,待处理 / To Do,2026-01-26T09:23:47.750401+00:00,,
Task 1156 vwtRIJ20,Project PRJ_19_TOW,user_674_U4mIU,待处理 / To Do,2025-12-30T09:23:47.750409+00:00,,
Task 1157 6uf9wqA5,Project PRJ_154_E4E,user_737_Slrnf,待处理 / To Do,2026-01-06T09:23:47.750416+00:00,,
Task 1158 P9B4zoBv,Project PRJ_164_Z2W,user_787_i2W8F,已完成 / Done,2026-01-06T09:23:47.750423+00:00,,
Task 1159 HjkcSwC9,Project PRJ_91_NKO,user_918_EmXdQ,待处理 / To Do,2026-01-27T09:23:47.750431+00:00,,
Task 1160 q8MchJ1k,Project PRJ_164_Z2W,user_393_uPuPf,已完成 / Done,2026-01-26T09:23:47.750438+00:00,,
Task 1161 F80RQ1Ys,Project PRJ_62_9XT,user_456_Kh0sJ,待处理 / To Do,2026-01-11T09:23:47.750445+00:00,,
Task 1162 q2yVmpEY,Project PRJ_20_NGL,user_430_RQJ6w,已完成 / Done,2025-12-30T09:23:47.750452+00:00,,
Task 1164 CssUjq7Z,Project PRJ_69_MXR,user_442_AMdiw,待处理 / To Do,2026-01-05T09:23:47.750466+00:00,,
Task 1165 P2D4HAE3,Project PRJ_13_EPO,user_185_VjFPv,待处理 / To Do,2026-01-13T09:23:47.750473+00:00,,
Task 1166 e6wTjpkC,Project PRJ_197_C7K,user_185_VjFPv,待处理 / To Do,2026-01-09T09:23:47.750480+00:00,,
Task 1167 LyQPWYWQ,Project PRJ_191_8YM,user_580_4tUeh,待处理 / To Do,2026-01-05T09:23:47.750487+00:00,,
Task 1168 VfFSmUgi,Project PRJ_21_SIH,user_228_JzwuI,已完成 / Done,2026-01-16T09:23:47.750494+00:00,,
Task 1169 1gR7yfAO,Project PRJ_131_WQZ,user_608_GK2pU,待处理 / To Do,2026-01-14T09:23:47.750501+00:00,,
Task 1170 yicbOUJH,Project PRJ_178_KUH,user_565_dzc9O,待处理 / To Do,2026-01-15T09:23:47.750508+00:00,,
Task 1171 wlkvyqrn,Project PRJ_64_VKR,user_943_1mhs1,待处理 / To Do,2026-01-13T09:23:47.750515+00:00,,
Task 1172 UQd2omqB,Project PRJ_184_TI9,user_879_o2df6,待处理 / To Do,2026-01-06T09:23:47.750522+00:00,,
Task 1173 jSNnLcw8,Project PRJ_69_MXR,user_336_3pDQU,已完成 / Done,2026-01-11T09:23:47.750529+00:00,,
Task 1174 z1FNqUbE,Project PRJ_109_9LQ,user_678_AQ808,待处理 / To Do,2026-01-19T09:23:47.750536+00:00,,
Task 1175 bCLppLlO,Project PRJ_51_QL6,user_221_0BPrH,已完成 / Done,2026-01-08T09:23:47.750543+00:00,,
Task 1176 5p2xQxLF,Project PRJ_57_CU7,user_409_Zkjp9,待处理 / To Do,2026-01-01T09:23:47.750550+00:00,,
Task 1177 pGOoep4X,Project PRJ_119_OJT,user_753_Df6d8,待处理 / To Do,2026-01-03T09:23:47.750560+00:00,,
Task 1178 DgRUuboW,Project PRJ_170_6Y7,user_567_yxIFv,待处理 / To Do,2026-01-16T09:23:47.750567+00:00,,
Task 1179 CwjRmzmd,Project PRJ_33_SR0,user_815_QDgkW,待处理 / To Do,2026-01-24T09:23:47.750574+00:00,,
Task 1181 Y4KP7Vbx,Project PRJ_43_7V9,user_913_n40sc,待处理 / To Do,2026-01-26T09:23:47.750588+00:00,,
Task 1182 apav6uhJ,Project PRJ_56_GF4,user_692_Cuari,待处理 / To Do,2026-01-10T09:23:47.750596+00:00,,
Task 1183 EXr2c2k1,Project PRJ_2_E8Z,user_933_U42Ef,待处理 / To Do,2026-01-03T09:23:47.750603+00:00,,
Task 1184 aQZHhGac,Project PRJ_139_5MM,user_253_UvCdu,待处理 / To Do,2026-01-23T09:23:47.750610+00:00,,
Task 1185 QoCVe41K,Project PRJ_67_UOD,user_354_T5RaE,待处理 / To Do,2026-01-19T09:23:47.750617+00:00,,
Task 1186 31pLl2Dw,Project PRJ_18_NEE,user_794_GHWfc,待处理 / To Do,2026-01-11T09:23:47.750624+00:00,,
Task 1188 ihWaPVCt,Project PRJ_59_QL9,user_128_xUGIW,待处理 / To Do,2026-01-14T09:23:47.750639+00:00,,
Task 1189 3PbkF9CQ,Project PRJ_56_GF4,user_642_wFCU2,待处理 / To Do,2025-12-29T09:23:47.750645+00:00,,
Task 1190 bqLF4nun,Project PRJ_125_YRS,user_802_ZT8cl,待处理 / To Do,2026-01-08T09:23:47.750654+00:00,,
Task 1191 ckXNeJgW,Project PRJ_185_HL1,user_899_fAGce,待处理 / To Do,2026-01-20T09:23:47.750661+00:00,,
Task 1192 K41JO9TP,Project PRJ_148_SUC,user_27_IfsBv,待处理 / To Do,2026-01-14T09:23:47.750668+00:00,,
Task 1193 tfDcdlEN,Project PRJ_128_05J,user_585_6xfmf,待处理 / To Do,2026-01-18T09:23:47.750675+00:00,,
Task 1194 LylT8Mxt,Project PRJ_46_CYU,user_969_hByI5,待处理 / To Do,2026-01-10T09:23:47.750683+00:00,,
Task 1195 kQ3eb3Gm,Project PRJ_44_VWS,user_836_I3Qg8,待处理 / To Do,2026-01-21T09:23:47.750690+00:00,,
Task 1196 ERc8RZP0,Project PRJ_20_NGL,user_579_ZwTBr,待处理 / To Do,2025-12-31T09:23:47.750697+00:00,,
Task 1197 ea4qeEJV,Project PRJ_69_MXR,user_413_NqkAY,待处理 / To Do,2026-01-19T09:23:47.750704+00:00,,
Task 1198 pMnXK24Q,Project PRJ_58_DVX,user_419_f93k5,已完成 / Done,2026-01-24T09:23:47.750712+00:00,,
Task 1199 oVEidfoJ,Project PRJ_160_HGY,user_148_vf49t,待处理 / To Do,2026-01-24T09:23:47.750719+00:00,,
Task 1200 OeUMXCbB,Project PRJ_27_XOD,user_708_xjUdh,待处理 / To Do,2026-01-06T09:23:47.750762+00:00,,
Task 1201 O6MM9YeJ,Project PRJ_37_W9S,user_642_wFCU2,待处理 / To Do,2026-01-08T09:23:47.750770+00:00,,
Task 1204 dOIujL3O,Project PRJ_53_OPN,user_1_tS9aq,待处理 / To Do,2026-01-10T09:23:47.750792+00:00,,
Task 1205 JHuV7vKl,Project PRJ_10_NWR,user_513_FUmjN,待处理 / To Do,2026-01-17T09:23:47.750799+00:00,,
Task 1206 LUu85aCw,Project PRJ_103_M7T,user_443_ZJlB9,待处理 / To Do,2026-01-19T09:23:47.750806+00:00,,
Task 1208 TxSP2RV3,Project PRJ_124_9RN,user_994_uKgTw,待处理 / To Do,2026-01-23T09:23:47.750822+00:00,,
Task 1209 QyF3TECe,Project PRJ_155_JDO,user_522_hWAPA,待处理 / To Do,2026-01-17T09:23:47.750829+00:00,,
Task 1211 sRARQN8k,Project PRJ_9_EIY,user_723_J6G9m,待处理 / To Do,2026-01-24T09:23:47.750843+00:00,,
Task 1213 bzRcT6oy,Project PRJ_154_E4E,user_754_fc4QD,待处理 / To Do,2026-01-12T09:23:47.750858+00:00,,
Task 1214 M7fxim7i,Project PRJ_31_OCV,user_607_VnmAV,已完成 / Done,2026-01-22T09:23:47.750865+00:00,,
Task 1215 rVpS994w,Project PRJ_117_FBU,user_488_ZRTiB,待处理 / To Do,2026-01-23T09:23:47.750872+00:00,,
Task 1216 jySVINTG,Project PRJ_106_ZUY,user_652_163ad,待处理 / To Do,2026-01-12T09:23:47.750879+00:00,,
Task 1217 JEUvWzfB,Project PRJ_159_MZ5,user_817_o6ANu,已完成 / Done,2026-01-25T09:23:47.750886+00:00,,
Task 1218 H2HlPHqx,Project PRJ_28_HAX,user_140_LBwKB,待处理 / To Do,2026-01-06T09:23:47.750894+00:00,,
Task 1219 fCykCte3,Project PRJ_15_FJI,user_428_b8YXP,已完成 / Done,2026-01-23T09:23:47.750901+00:00,,
Task 1220 eRishhEM,Project PRJ_166_IFT,user_134_cyKwU,待处理 / To Do,2026-01-23T09:23:47.750908+00:00,,
Task 1221 RDana8Wh,Project PRJ_39_6GG,user_51_qAg45,待处理 / To Do,2026-01-06T09:23:47.750915+00:00,,
Task 1222 zewhbpFn,Project PRJ_29_W9W,user_330_dhyUM,已完成 / Done,2026-01-26T09:23:47.750924+00:00,,
Task 1224 8X6ikkkn,Project PRJ_108_OQE,user_750_nzWW1,待处理 / To Do,2026-01-21T09:23:47.750943+00:00,,
Task 1225 Y2mLW0Z2,Project PRJ_158_NKV,user_850_AZOq0,待处理 / To Do,2026-01-18T09:23:47.750957+00:00,,
Task 1226 zTbqKcHt,Project PRJ_139_5MM,user_701_vPp4c,已完成 / Done,2026-01-23T09:23:47.750965+00:00,,
Task 1227 7C4YJ7ab,Project PRJ_120_Q7K,user_293_8fIbA,待处理 / To Do,2026-01-13T09:23:47.750973+00:00,,
Task 1228 DEv8BjfX,Project PRJ_111_HJT,user_286_wrSsB,待处理 / To Do,2026-01-17T09:23:47.750982+00:00,,
Task 1230 eIoSdFWn,Project PRJ_166_IFT,user_276_oEWdw,待处理 / To Do,2026-01-11T09:23:47.750998+00:00,,
Task 1231 CaBnDNkm,Project PRJ_39_6GG,user_960_N6uox,待处理 / To Do,2026-01-09T09:23:47.751008+00:00,,
Task 1232 VrJnO8ri,Project PRJ_7_ZL8,user_749_Tlj9H,待处理 / To Do,2026-01-09T09:23:47.751018+00:00,,
